group,ssb_F0,ssb_F040,ssb_fraction_of_F0,passes_30pct
smallPel,0.731129684369951,0.655754403139366,0.896905729801492,TRUE
largePel,1.1282726573161,0.415723571737836,0.368460202453853,TRUE
demersals,0.0661459281469824,0.0367417368222902,0.555464831344518,TRUE
total,1.92554826983305,1.10821971169948,0.575534630350021,TRUE
