LME_nb,ECO_NAME,group,observed_period,simulated_period,simulated_scenario,observed_tonnes_yr,simulated_tonnes_yr,ratio_simulated_observed,matched_cells,plot_eligible
55,Beaufort Sea,largePel,1995-2004,2015-2019,F040,21176.2862302056,0.000205694469091398,9.71343449249367e-09,228,FALSE
56,East Siberian Sea,largePel,1995-2004,2015-2019,F040,11289.824083543,1.39373741220947e-10,1.23450764325115e-14,178,FALSE
57,Laptev Sea,largePel,1995-2004,2015-2019,F040,921.047688479357,6.91961791879537e-11,7.51276834559957e-14,262,FALSE
58,Kara Sea,largePel,1995-2004,2015-2019,F040,854.738294061764,1.05971432745111,0.00123981145435206,307,TRUE
59,Iceland Shelf and Sea,largePel,1995-2004,2015-2019,F040,136793.107150532,840.516771260175,0.00614443804054571,86,TRUE
60,Faroe Plateau,largePel,1995-2004,2015-2019,F040,32390.1018248833,2820.84196905803,0.0870896295513018,16,TRUE
61,Antarctica,largePel,1995-2004,2015-2019,F040,50.123650541532,260828.867055845,5203.70851360327,567,TRUE
62,Black Sea,largePel,1995-2004,2015-2019,F040,62352.3793777806,535601.017256703,8.58990503011286,36,TRUE
63,Hudson Bay Complex,largePel,1995-2004,2015-2019,F040,45.6935043092277,0.831760031550934,0.0182030256625111,146,FALSE
64,Central Arctic,largePel,1995-2004,2015-2019,F040,0,4.46066613319538e-11,,3162,FALSE
65,Aleutian Islands,largePel,1995-2004,2015-2019,F040,11788.4997686139,111276.837555161,9.43944011021892,26,TRUE
66,Canadian High Arctic - North Greenland,largePel,1995-2004,2015-2019,F040,0.872702993697384,2.69049615445329e-12,3.08294594367604e-12,193,FALSE
1,East Bering Sea,smallPel,1995-2004,2015-2019,F040,11187.5338435718,1425848.53085684,127.449762458248,177,TRUE
2,Gulf of Alaska,smallPel,1995-2004,2015-2019,F040,2250.6747659991,863467.833708817,383.648427019846,178,TRUE
3,California Current,smallPel,1995-2004,2015-2019,F040,10932.5743230079,1643480.35707832,150.328761417114,212,TRUE
4,Gulf of California,smallPel,1995-2004,2015-2019,F040,4845.20697555038,15276.1369376752,3.15283475293436,9,TRUE
5,Gulf of Mexico,smallPel,1995-2004,2015-2019,F040,563356.769694615,387009.491350619,0.686970517032056,119,TRUE
6,Southeast U.S. Continental Shelf,smallPel,1995-2004,2015-2019,F040,48.4322595934973,37528.5013514334,774.865795369005,22,TRUE
7,Northeast U.S. Continental Shelf,smallPel,1995-2004,2015-2019,F040,313.102704049678,298678.781157974,953.932295361412,22,TRUE
8,Scotian Shelf,smallPel,1995-2004,2015-2019,F040,4156.81566027702,280600.23365489,67.5036510125616,25,TRUE
9,Labrador - Newfoundland,smallPel,1995-2004,2015-2019,F040,19619.7484537709,473971.061951969,24.1578562064016,85,TRUE
10,Insular Pacific-Hawaiian,smallPel,1995-2004,2015-2019,F040,3.63218797686168,32039.0200441575,8820.85956130503,84,TRUE
11,Pacific Central-American Coastal,smallPel,1995-2004,2015-2019,F040,1093268.36485926,625026.751980164,0.571704781799507,151,TRUE
12,Caribbean Sea,smallPel,1995-2004,2015-2019,F040,9258.45187432212,165525.749088048,17.8783398493571,234,TRUE
13,Humboldt Current,smallPel,1995-2004,2015-2019,F040,9585053.21440328,4504818.71127148,0.469983693413634,223,TRUE
14,Patagonian Shelf,smallPel,1995-2004,2015-2019,F040,25537.2930827544,2365981.08436177,92.6480765480798,115,TRUE
15,South Brazil Shelf,smallPel,1995-2004,2015-2019,F040,38546.994476081,331056.12982893,8.58837723481543,43,TRUE
16,East Brazil Shelf,smallPel,1995-2004,2015-2019,F040,24911.2757485657,43946.2102285963,1.7641091798009,74,TRUE
17,North Brazil Shelf,smallPel,1995-2004,2015-2019,F040,27642.0811268023,516354.551748045,18.6800172309522,68,TRUE
18,Canadian Eastern Arctic - West Greenland,smallPel,1995-2004,2015-2019,F040,9637.44624434639,22566.1329735594,2.34150545709112,234,TRUE
19,Greenland Sea,smallPel,1995-2004,2015-2019,F040,578288.081871715,7505.3389966947,0.0129785469076287,304,TRUE
20,Barents Sea,smallPel,1995-2004,2015-2019,F040,198201.861367098,241358.693471539,1.21774181032795,596,TRUE
21,Norwegian Sea,smallPel,1995-2004,2015-2019,F040,261523.314709463,198533.814032246,0.759143842501406,233,TRUE
22,North Sea,smallPel,1995-2004,2015-2019,F040,273462.082132407,832937.509445503,3.0458976357907,84,TRUE
23,Baltic Sea,smallPel,1995-2004,2015-2019,F040,400920.634685463,277364.830591207,0.691819793233665,31,TRUE
24,Celtic-Biscay Shelf,smallPel,1995-2004,2015-2019,F040,172545.938476971,798101.188617319,4.62544175575503,79,TRUE
25,Iberian Coastal,smallPel,1995-2004,2015-2019,F040,145840.73898604,480433.766245615,3.29423568192151,30,TRUE
26,Mediterranean Sea,smallPel,1995-2004,2015-2019,F040,696748.451535718,1320928.27138809,1.89584672700255,197,TRUE
27,Canary Current,smallPel,1995-2004,2015-2019,F040,867485.304668758,1904827.12058404,2.1958033298459,92,TRUE
28,Guinea Current,smallPel,1995-2004,2015-2019,F040,108324.794398049,735964.885170945,6.79405753097095,150,TRUE
29,Benguela Current,smallPel,1995-2004,2015-2019,F040,318738.651504743,2939341.78533193,9.22179274918652,123,TRUE
30,Agulhas Current,smallPel,1995-2004,2015-2019,F040,51766.6334617944,1195083.93344038,23.0859890535937,201,TRUE
31,Somali Coastal Current,smallPel,1995-2004,2015-2019,F040,2140.98044957209,428277.773643856,200.038152487312,58,TRUE
32,Arabian Sea,smallPel,1995-2004,2015-2019,F040,405500.471942685,2197185.8930395,5.41845458899998,304,TRUE
33,Red Sea,smallPel,1995-2004,2015-2019,F040,115597.190694481,29648.7268478949,0.256483108886749,25,TRUE
34,Bay of Bengal,smallPel,1995-2004,2015-2019,F040,386872.050427983,1426179.9057453,3.68643820138355,271,TRUE
35,Gulf of Thailand,smallPel,1995-2004,2015-2019,F040,87749.9521879409,317759.008766535,3.62118725815333,22,TRUE
36,South China Sea,smallPel,1995-2004,2015-2019,F040,885967.065527644,2122681.42687082,2.39589202518114,235,TRUE
37,Sulu-Celebes Sea,smallPel,1995-2004,2015-2019,F040,202745.510958524,410990.815294962,2.02712658520484,60,TRUE
38,Indonesian Sea,smallPel,1995-2004,2015-2019,F040,567457.511350255,2223896.15413121,3.91905316195302,127,TRUE
39,North Australian Shelf,smallPel,1995-2004,2015-2019,F040,269.796460571137,902856.283100294,3346.43486867479,47,TRUE
40,Northeast Australian Shelf,smallPel,1995-2004,2015-2019,F040,5450.35767558282,161518.607672454,29.6344969057801,98,TRUE
41,East Central Australian Shelf,smallPel,1995-2004,2015-2019,F040,783.573119651546,267761.666150087,341.718799987882,50,TRUE
42,Southeast Australian Shelf,smallPel,1995-2004,2015-2019,F040,3987.51732758054,1521640.8763821,381.601069381526,115,TRUE
43,South West Australian Shelf,smallPel,1995-2004,2015-2019,F040,4263.59412651611,586828.712973969,137.637095736756,92,TRUE
44,West Central Australian Shelf,smallPel,1995-2004,2015-2019,F040,1191.48879030903,120902.253104312,101.471582517326,52,TRUE
45,Northwest Australian Shelf,smallPel,1995-2004,2015-2019,F040,5787.00590732293,843482.004687448,145.754474454588,72,TRUE
46,New Zealand Shelf,smallPel,1995-2004,2015-2019,F040,157.792337957583,1006514.53046252,6378.72879944964,91,TRUE
47,East China Sea,smallPel,1995-2004,2015-2019,F040,853493.244995046,1021422.99751882,1.19675580739336,62,TRUE
48,Yellow Sea,smallPel,1995-2004,2015-2019,F040,683433.358303703,663546.06079801,0.970900897265164,30,TRUE
49,Kuroshio Current,smallPel,1995-2004,2015-2019,F040,330550.596446982,487341.229971284,1.474331721708,112,TRUE
50,Sea of Japan,smallPel,1995-2004,2015-2019,F040,499735.475153214,616408.37991056,1.23346932639028,86,TRUE
51,Oyashio Current,smallPel,1995-2004,2015-2019,F040,101486.403368994,724780.99753718,7.14165615764264,56,TRUE
52,Sea of Okhotsk,smallPel,1995-2004,2015-2019,F040,247464.880134396,1498014.71472728,6.05344368022536,182,TRUE
53,West Bering Sea,smallPel,1995-2004,2015-2019,F040,18731.3043002955,671180.739276844,35.8320343589879,93,TRUE
54,Northern Bering - Chukchi Seas,smallPel,1995-2004,2015-2019,F040,5519.08335865828,270249.761605329,48.9664214223842,303,TRUE
55,Beaufort Sea,smallPel,1995-2004,2015-2019,F040,96.4710531303336,10830.9312024288,112.271306790816,228,TRUE
56,East Siberian Sea,smallPel,1995-2004,2015-2019,F040,394.14613766767,6950.77526681329,17.6350206244414,178,TRUE
57,Laptev Sea,smallPel,1995-2004,2015-2019,F040,0,17783.9502685457,,262,FALSE
58,Kara Sea,smallPel,1995-2004,2015-2019,F040,1238.26168899466,99540.5588937207,80.3873363590354,307,TRUE
59,Iceland Shelf and Sea,smallPel,1995-2004,2015-2019,F040,438618.326379039,47888.9832564346,0.109181446319802,86,TRUE
60,Faroe Plateau,smallPel,1995-2004,2015-2019,F040,13187.4125564473,27644.2198995075,2.09625806284435,16,TRUE
61,Antarctica,smallPel,1995-2004,2015-2019,F040,84.3428835016105,1498842.49908097,17770.823534298,567,TRUE
62,Black Sea,smallPel,1995-2004,2015-2019,F040,331045.444714658,757591.68712515,2.2884824401621,36,TRUE
63,Hudson Bay Complex,smallPel,1995-2004,2015-2019,F040,39.9491622538335,353674.484073959,8853.11391079346,146,TRUE
64,Central Arctic,smallPel,1995-2004,2015-2019,F040,0,0.00905413075826342,,3162,FALSE
65,Aleutian Islands,smallPel,1995-2004,2015-2019,F040,1060.80727403143,213388.494143671,201.156703359246,26,TRUE
66,Canadian High Arctic - North Greenland,smallPel,1995-2004,2015-2019,F040,6.91269802616553,6.86262842721056e-06,9.92756865877049e-07,193,FALSE
1,East Bering Sea,total,1995-2004,2015-2019,F040,1317010.11566605,2148197.52232397,1.63111694949857,177,TRUE
