group,n_lmes,pearson_log10,spearman
demersals,62,0.320751852330489,0.383294301327088
largePel,57,0.356202637905411,0.420922997148043
smallPel,63,0.382962886978099,0.381480414746544
total,64,0.434221281331378,0.525320512820513
