group,ssb_F0,ssb_F040,ssb_fraction_of_F0,passes_30pct
smallPel,0.730123007871799,0.656407040375635,0.899036235399518,TRUE
largePel,1.12322012022629,0.41139209328651,0.366261328370461,TRUE
demersals,0.0689886603721511,0.0375645375329339,0.544503072393296,TRUE
total,1.92233178847024,1.10536367119508,0.575011908883175,TRUE
