"sea","climate_period","SSB_smallPel","SSB0_smallPel","SSB_demersals","SSB0_demersals","SSB_largePel","SSB0_largePel","ratio_smallPel","ratio_demersals","ratio_largePel","minimum_SSB_ratio_full_grid","limiting_group_full_grid","valid_30pct_full_grid"
"Bay of Biscay","Future 2090-2100",1.98798575166087,1.96653331480086,0.476464727826773,1.09704323258252,0.427143139250188,1.40574099901703,1.01090875842202,0.434317184296502,0.303856215013199,0.303856215013199,"largePel",TRUE
"Bay of Biscay","Reference 2020-2029",2.12486223466799,2.21226768922685,0.636875011588846,0.982997271773977,0.515268737411808,1.67217403937652,0.960490561343683,0.647890924905114,0.308143007413229,0.308143007413229,"largePel",TRUE
"Celtic Sea","Future 2090-2100",3.23005733841359,3.13229248978341,2.10295800154502,2.39741410973258,0.624531782984937,1.33564151360762,1.0312119155376,0.877177619422454,0.467589376806696,0.467589376806696,"largePel",TRUE
"Celtic Sea","Reference 2020-2029",3.01655598887891,2.93025090491848,1.84431863955678,2.21941650788099,0.560861854845906,1.23405944568526,1.0294531378919,0.830992575304249,0.45448528173168,0.45448528173168,"largePel",TRUE
"English Channel","Future 2090-2100",3.6313370778295,3.48672690589922,1.79563601050636,2.13831434629243,1.43644979948903,2.52185428539109,1.0414744761586,0.83974370448375,0.569600633870986,0.569600633870986,"largePel",TRUE
"English Channel","Reference 2020-2029",3.50930159730295,3.41013558589435,1.63407830040191,1.98567756873814,1.30591281237517,2.34298787959096,1.02907978551316,0.82293234618163,0.557370707612519,0.557370707612519,"largePel",TRUE
"North Sea","Future 2090-2100",2.13136029286282,2.18516737438788,1.44446221500443,2.00274593455721,0.185732487196412,0.485949416274059,0.975376219617897,0.721240867391297,0.382205392117737,0.382205392117737,"largePel",TRUE
"North Sea","Reference 2020-2029",1.97964512411944,2.23130196183464,1.25137925951718,2.00765334823124,0.153567837275599,0.481287383032939,0.887215248308088,0.623304446766001,0.319077213925404,0.319077213925404,"largePel",TRUE
